Episode 96/10000, Total Reward: 345.0, Epsilon: 0.9999
Episode 97/10000, Total Reward: 55.0, Epsilon: 0.9999
Episode 98/10000, Total Reward: 200.0, Epsilon: 0.9999
Episode 99/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 100/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 101/10000, Total Reward: 205.0, Epsilon: 0.9999
第100場結束，儲存模型架構與參數
Episode 102/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 103/10000, Total Reward: 185.0, Epsilon: 0.9999
Episode 104/10000, Total Reward: 70.0, Epsilon: 0.9999
Episode 105/10000, Total Reward: 125.0, Epsilon: 0.9999
Episode 106/10000, Total Reward: 110.0, Epsilon: 0.9999
Episode 107/10000, Total Reward: 30.0, Epsilon: 0.9999
Episode 108/10000, Total Reward: 270.0, Epsilon: 0.9999
Episode 109/10000, Total Reward: 280.0, Epsilon: 0.9999
Episode 110/10000, Total Reward: 180.0, Epsilon: 0.9999
Episode 111/10000, Total Reward: 155.0, Epsilon: 0.9999
Episode 112/10000, Total Reward: 125.0, Epsilon: 0.9999
Episode 113/10000, Total Reward: 110.0, Epsilon: 0.9999
Episode 114/10000, Total Reward: 135.0, Epsilon: 0.9999
Episode 115/10000, Total Reward: 200.0, Epsilon: 0.9999
Episode 116/10000, Total Reward: 55.0, Epsilon: 0.9999
Episode 117/10000, Total Reward: 50.0, Epsilon: 0.9999
Episode 118/10000, Total Reward: 105.0, Epsilon: 0.9999
Episode 119/10000, Total Reward: 120.0, Epsilon: 0.9999
Episode 120/10000, Total Reward: 105.0, Epsilon: 0.9999
Episode 121/10000, Total Reward: 155.0, Epsilon: 0.9999
第120場結束，儲存模型架構與參數
Episode 122/10000, Total Reward: 215.0, Epsilon: 0.9999
Episode 123/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 124/10000, Total Reward: 315.0, Epsilon: 0.9999
Episode 125/10000, Total Reward: 265.0, Epsilon: 0.9999
Episode 126/10000, Total Reward: 210.0, Epsilon: 0.9999
Episode 127/10000, Total Reward: 295.0, Epsilon: 0.9999
Episode 128/10000, Total Reward: 20.0, Epsilon: 0.9999
Episode 129/10000, Total Reward: 15.0, Epsilon: 0.9999
Episode 130/10000, Total Reward: 90.0, Epsilon: 0.9999
Episode 131/10000, Total Reward: 540.0, Epsilon: 0.9999
Episode 132/10000, Total Reward: 75.0, Epsilon: 0.9999
Episode 133/10000, Total Reward: 45.0, Epsilon: 0.9999
Episode 134/10000, Total Reward: 50.0, Epsilon: 0.9999
Episode 135/10000, Total Reward: 165.0, Epsilon: 0.9999
Episode 136/10000, Total Reward: 120.0, Epsilon: 0.9999
Episode 137/10000, Total Reward: 70.0, Epsilon: 0.9999
Episode 138/10000, Total Reward: 80.0, Epsilon: 0.9999
Episode 139/10000, Total Reward: 150.0, Epsilon: 0.9999
Episode 140/10000, Total Reward: 120.0, Epsilon: 0.9999
Episode 141/10000, Total Reward: 100.0, Epsilon: 0.9999
第140場結束，儲存模型架構與參數
Episode 142/10000, Total Reward: 80.0, Epsilon: 0.9999
Episode 143/10000, Total Reward: 180.0, Epsilon: 0.9999
Episode 144/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 145/10000, Total Reward: 195.0, Epsilon: 0.9999
Episode 146/10000, Total Reward: 310.0, Epsilon: 0.9999
Episode 147/10000, Total Reward: 125.0, Epsilon: 0.9999
Episode 148/10000, Total Reward: 90.0, Epsilon: 0.9999
Episode 149/10000, Total Reward: 190.0, Epsilon: 0.9999
Episode 150/10000, Total Reward: 180.0, Epsilon: 0.9999
Episode 151/10000, Total Reward: 210.0, Epsilon: 0.9999
Episode 152/10000, Total Reward: 335.0, Epsilon: 0.9999
Episode 153/10000, Total Reward: 50.0, Epsilon: 0.9999
Episode 154/10000, Total Reward: 120.0, Epsilon: 0.9999
Episode 155/10000, Total Reward: 130.0, Epsilon: 0.9999
Episode 156/10000, Total Reward: 45.0, Epsilon: 0.9999
Episode 157/10000, Total Reward: 110.0, Epsilon: 0.9999
Episode 158/10000, Total Reward: 210.0, Epsilon: 0.9999
Episode 159/10000, Total Reward: 270.0, Epsilon: 0.9999
Episode 160/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 161/10000, Total Reward: 390.0, Epsilon: 0.9999
第160場結束，儲存模型架構與參數
Episode 162/10000, Total Reward: 195.0, Epsilon: 0.9999
Episode 163/10000, Total Reward: 190.0, Epsilon: 0.9999
Episode 164/10000, Total Reward: 255.0, Epsilon: 0.9999
Episode 165/10000, Total Reward: 180.0, Epsilon: 0.9999
Episode 166/10000, Total Reward: 170.0, Epsilon: 0.9999
Episode 167/10000, Total Reward: 125.0, Epsilon: 0.9998
Episode 168/10000, Total Reward: 110.0, Epsilon: 0.9998
Episode 169/10000, Total Reward: 120.0, Epsilon: 0.9998
Episode 170/10000, Total Reward: 110.0, Epsilon: 0.9998
Episode 171/10000, Total Reward: 255.0, Epsilon: 0.9998
Episode 172/10000, Total Reward: 120.0, Epsilon: 0.9998
Episode 173/10000, Total Reward: 105.0, Epsilon: 0.9998
